#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
73,"Kaadhal Ponmaan (From  Nellikkampoyil Night Riders )","Neha S. Nair,Vishnu Vijay,Yakzan Gary Pereira,Vinayak Sasikumar",150,8A,45,2026-02-07,02:57,67,"mollywood, malayalam pop, malayalam hip hop","Kaadhal Ponmaan (From  Nellikkampoyil Night Riders )",2025-09-06,69,69,0,78,0,10,-9,A Minor,3,21s7NBfZO6vg7YpBipRvfT,INS182503274
74,"Venmathi (From  Hridayapoorvam )","Justin Prabhakaran,Sid Sriram,Manu Manjith",110,12B,62,2026-02-07,03:36,55,"tollywood, telugu pop, mollywood, malayalam pop, tamil pop, kollywood","Venmathi (From  Hridayapoorvam )",2025-08-16,74,63,0,68,0,10,-9,E Major,4,7bozjsco3rbOwzWq55ZmlY,INA982500295
75,"Ninnukori Freestyle","dasa",95,9A,49,2026-02-07,02:24,27,"tamil indie, malayalam hip hop, tamil hip hop","Ninnukori Freestyle",2021-01-04,73,76,0,38,10,60,-11,E Minor,4,0mSPDlto61RJtDghJ9mxCE,GBRKQ2056267
76,"Appangal","Gopi Sundar,Anna Katharina Valayil",165,8B,89,2026-02-07,04:41,53,"mollywood, malayalam pop, tollywood","Ustad Hotel (Original Motion Picture Soundtrack)",2012-12-14,70,28,0,62,0,10,-5,C Major,4,1MdR75L1RBLz5OnLFQ2ITR,INS321204277
77,"Ranam - From  Ranam ","Jakes Bejoy,Ajaey Shravan,Neha S. Nair,Saint T.F.C.",174,4B,73,2026-02-07,05:01,63,"malayalam pop, mollywood, malayalam hip hop","Ranam (From  Ranam )",2018-04-01,64,42,0,64,0,20,-8,G#/A♭ Major,4,6f6CZPUqlcBRfwQ7153zjH,INA981800042
78,"Margazhi","Darbuka Siva,Keerthana Vaidyanathan,Kapil Kapilan,Vinayak Sasikumar",150,8A,37,2026-02-07,03:16,49,"tamil pop, kollywood, mollywood, malayalam pop, kannada pop, tollywood, malayalam hip hop","Dominic And The Ladies Purse (Original Motion Picture Soundtrack)",2025-01-21,47,76,0,29,0,10,-11,A Minor,4,5ORnS5oyZi9WT0Lprten96,INA982500011
79,"Roohe","Vishnu Shyam,Karthik,Vinayak Sasikumar",132,3B,38,2026-02-07,03:10,40,"mollywood, malayalam pop, tamil indie, telugu pop, tollywood, tamil pop, kollywood, kannada pop, tamil dance, malayalam hip hop","Neru (Original Motion Picture Soundtrack)",2023-12-19,28,17,0,14,0,0,-9,C♯/D♭ Major,3,74GcIPtC1eDinElqYNB83J,INA982300551
80,"CHANEL","Tyla",115,10A,77,2026-02-07,03:08,92,"afrobeats","CHANEL",2025-10-24,86,13,0,88,0,40,-5,B Minor,4,4VxTzYm00mg82MuoT35Ja7,USSM12503648
81,"Paint The Town Red","Doja Cat",100,7B,54,2026-02-07,03:51,77,"","Paint The Town Red",2023-08-04,87,27,0,73,10,0,-9,F Major,4,2IGMVunIBsBLtEQyoI1Mu7,USRC12300907
82,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone,Swae Lee",90,10B,52,2026-02-07,02:37,82,"","Hollywood's Bleeding",2019-09-06,76,53,0,93,0,0,-4,D Major,4,0RiRZpuVRbi7oqRdSMwhQY,USUM71814888
83,"Mockingbird","Eminem",84,8B,68,2026-02-07,04:10,87,"rap, hip hop","Encore (Deluxe Version)",2004-11-12,64,21,0,25,20,10,-4,C Major,4,561jH07mF1jHuk7KlaeF0s,USIR10400813
84,"Señorita","Shawn Mendes,Camila Cabello",117,8A,55,2026-02-07,03:10,80,"","Shawn Mendes (Deluxe)",2019-06-19,76,4,0,75,0,0,-6,A Minor,4,6v3KW9xbzN5yKLt9YKDYA2,USUM71911283
85,"Back To Black","Amy Winehouse",123,6B,73,2026-02-07,04:00,74,"","Back To Black",2006-10-27,49,12,0,34,0,10,-3,A#/B♭ Major,4,30FURVTCpbKyykjSEQzGkH,GBUM70604698
86,"Anti-Hero","Taylor Swift",97,12B,65,2026-02-07,03:20,80,"","Midnights",2022-10-21,63,12,0,49,0,10,-7,E Major,4,0V3wPSX9ygBnCm8psDIegu,USUG12205736
87,"bad guy","Billie Eilish",135,9B,43,2026-02-07,03:14,82,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,70,33,13,56,30,10,-11,G Major,4,2Fxmhks0bxGSBdJ92vM42m,USUM71900764
88,"As It Was","Harry Styles",174,11A,73,2026-02-07,02:47,90,"","Harry's House",2022-05-20,52,34,0,66,0,30,-5,F#/G♭ Minor,4,4Dvkj6JhhA12EX05fT7y2e,USSM12200612
89,"Singa Kutty Bring on the Chaos","Chinna Ponnu,Ankur Enkore Johar,Raghav Jock",94,10A,72,2026-02-07,02:53,33,"tamil dance, tamil hip hop, tamil pop, kollywood, tamil indie","Solo (Original Motion Picture Soundtrack)",2017-09-17,81,6,0,46,10,20,-6,B Minor,4,2cyT9rBZ4qfcjcA47ZNPgY,INS231731392
90,"Roshomon (Malayalam)","Ashwin Gopakumar,Arun Kamath,Niranj Suresh,Sachin Raj,Rakesh Kishore,Alfred Eby Issac,Mithun Jayaraj",175,3A,87,2026-02-07,02:51,47,"mollywood, malayalam pop, malayalam hip hop","Solo (Original Motion Picture Soundtrack)",2017-08-22,69,60,0,81,30,10,-6,A#/B♭ Minor,4,32B4EisuRV6sqazGqy1f3B,INS231727530
91,"Vaathilil","Gopi Sundar,Haricharan,Rafeeq Ahamed",80,9A,34,2026-02-07,06:09,66,"mollywood, malayalam pop, tollywood, tamil pop, telugu pop, kollywood, tamil dance, kannada pop","Ustad Hotel (Original Motion Picture Soundtrack)",2012-12-14,67,34,0,75,0,0,-11,E Minor,4,7m8j6syMsmgtxPcutFNB80,INS321204275
92,"Kurumbathi Chundhari","Vineeth Sreenivasan",120,9A,62,2026-02-07,03:06,46,"malayalam pop, mollywood","Ann Maria Kalippilaanu (Original Motion Picture Soundtrack)",2016-08-05,47,70,0,39,0,10,-10,E Minor,4,0vTzeUqgc8nRy8R4Z5XMhW,INM251621210
